Feature,Coefficient,Std Error,t Value,p Value,CI Lower (95%),CI Upper (95%)
Intercept,95051.12763420318,47.957213986867075,-2.4504891762995276,0.014279690731500372,94957.13149478892,95145.12377361744
feature_1,-117.51863380029809,52.37945742870535,3.0188718546052002,0.0025422415454874336,-220.18237036056058,-14.854897240035598
feature_2,158.12686979100985,2913.4479013482437,6.803461621902016,1.0674128247956105e-11,-5552.231016851548,5868.484756433568
feature_3,19821.530984233745,3595.68358993325,1.3421513121952227,0.17957106292064196,12773.991147964574,26869.070820502915
feature_4,4825.95144846774,2952.872034294174,32.18938258424168,0.0,-961.67773874884,10613.58063568432
